,song_name,song_popularity,song_duration_ms,danceability,energy,speechiness,artist_name,album_names,artists_path,fat_burning,genre
9764,All Falls Down (feat. Juliander),83,199111,0.6579999999999999,0.6779999999999999,0.058,Alan Walker,All Falls Down (feat. Juliander),alan-walker,41.563836758545584,electronic
9765,Gold,74,225882,0.6,0.412,0.344,Kiiara,low kii savage,kiiara,35.71708897843624,alternative
9766,Gold,74,225882,0.6,0.412,0.344,Valentino Khan,Major Lazer Presents: Give Me Future (Music From & Inspired By the Film),valentino-khan,35.71708897843624,electronic
9767,Gold,74,225882,0.6,0.412,0.344,Matt Hartke,Gold,matt-hartke,35.71708897843624,undefined
9768,Ride,84,214506,0.645,0.713,0.0393,Twenty One Pilots,Blurryface,twenty-one-pilots,45.51485182239625,alternative
9769,Love Yourself,62,233720,0.609,0.378,0.438,Justin Bieber,Purpose (Deluxe),justin-bieber,36.04349938828985,pop
9770,All Time Low,74,217603,0.584,0.569,0.166,Jon Bellion,The Human Condition,jon-bellion,39.201989190777,pop
9771,Swalla (feat. Nicki Minaj & Ty Dolla $ign),82,216408,0.696,0.8170000000000001,0.109,Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),jason-derulo,51.159484319751755,electronic
9772,Starving,82,181880,0.7290000000000001,0.615,0.0647,Hailee Steinfeld,Starving,hailee-steinfeld,38.19426289317807,electronic
9773,That's What I Like,86,206693,0.853,0.56,0.0406,Bruno Mars,24K Magic,bruno-mars,45.6332971880083,electronic
9774,It Ain’t Me (with Selena Gomez),73,220780,0.64,0.5329999999999999,0.0706,Kygo,It Ain't Me,kygo,40.46426534626857,electronic
9775,My House,78,192190,0.688,0.7020000000000001,0.0499,Flo Rida,MY HOUSE,flo-rida,41.74067864670653,hip-hop
9776,Solo (feat. Demi Lovato),94,222653,0.737,0.636,0.0437,Clean Bandit,Solo (feat. Demi Lovato),clean-bandit,47.76535470594945,electronic
9777,Don't Wanna Know,22,214480,0.777,0.627,0.0792,Maroon 5,Don't Wanna Know,maroon-5,47.050888346882616,rock
9778,Delicate,84,232253,0.75,0.404,0.0682,Taylor Swift,reputation,taylor-swift,41.87753015973212,country
9779,More Than You Know,31,203000,0.645,0.741,0.0339,Axwell /\ Ingrosso,More Than You Know,axwell-/\-ingrosso,43.961569290431854,
9780,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",44,245200,0.735,0.451,0.0585,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),zayn,45.43798602832147,hip-hop
9781,No Promises (feat. Demi Lovato),77,223503,0.741,0.667,0.134,Cheat Codes,No Promises (feat. Demi Lovato),cheat-codes,49.1699685473173,hip-hop
9782,Cake By The Ocean,24,218440,0.774,0.748,0.0509,DNCE,Cake By The Ocean,dnce,51.94703199486258,pop
9783,There for You,80,221904,0.611,0.644,0.0553,Martin Garrix,There for You,martin-garrix,43.513375593155715,electronic
9784,Issues,66,176346,0.7040000000000001,0.423,0.0862,Julia Michaels,Issues,julia-michaels,31.052991754803447,pop
9785,Something Just Like This,79,247626,0.607,0.649,0.0362,The Chainsmokers,Something Just Like This,the-chainsmokers,48.59591911988738,electronic
9786,Rockabye (feat. Sean Paul & Anne-Marie),83,251088,0.72,0.763,0.0523,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),clean-bandit,58.18097932997817,electronic
9787,3 Days 3 Hours,58,269000,0.58,0.391,0.664,Wale,Free Lunch,wale,40.8117698344867,alternative
9788,"The Adventures Of Stoney Bob (ft. Kajo, Slaydro, Big Lenbo)",74,260213,0.629,0.85,0.321,Logic,YSIV,logic,60.13275235192006,
9789,Situations,54,222261,0.551,0.36,0.624,REASON,There You Have It,reason,31.63701932316577,metal
9790,We All Sin Here,55,164000,0.68,0.556,0.0388,Doley Bernays,We All Sin Here,doley-bernays,31.672054611732026,hip-hop
9791,Time Of My Life,52,181894,0.916,0.62,0.219,KEY,Time Of My Life,key,43.653946116382734,hip-hop
9792,Runnin’,60,235489,0.626,0.414,0.109,Blood Orange,Negro Swan,blood-orange,38.26642437840718,alternative
9793,Voicemail,72,189133,0.8009999999999999,0.705,0.206,Russ,ZOO,russ,44.50473321468916,hip-hop
9794,Mutual Butterflies,54,183875,0.616,0.649,0.462,Ryan Trey,Mutual Butterflies,ryan-trey,36.343531887832825,hip-hop
